wavelength (nm),n_o,k_o,n_e,k_e
191.985382,2.643183,1.356781,2.148942,1.058507
193.583862,2.648401,1.343511,2.173908,1.07627
195.182388,2.654901,1.328746,2.193234,1.079703
196.780914,2.662117,1.312519,2.205092,1.074906
198.379486,2.669575,1.294837,2.209417,1.06637
199.978088,2.676814,1.275715,2.207138,1.057581
201.576691,2.683332,1.255198,2.200088,1.051227
203.175339,2.688509,1.233558,2.191156,1.048419
204.774017,2.692025,1.21137,2.182135,1.048371
206.372711,2.693833,1.189112,2.173747,1.050418
207.971405,2.693985,1.167174,2.1664,1.054056
209.57016,2.692605,1.145879,2.160344,1.058871
211.168915,2.689875,1.125494,2.155747,1.0645
212.7677,2.686061,1.106216,2.152759,1.070591
214.366501,2.681445,1.088061,2.151447,1.076669
215.965332,2.676182,1.070986,2.151666,1.082277
217.564178,2.670378,1.054964,2.153161,1.087059
219.163055,2.664124,1.039977,2.155608,1.090738
220.761963,2.657496,1.02601,2.158623,1.093113
222.36087,2.650568,1.01305,2.161748,1.094061
223.959793,2.643405,1.001085,2.164379,1.093578
225.558746,2.636073,0.990107,2.165867,1.092115
227.157715,2.628637,0.980106,2.166029,1.090323
228.756714,2.621166,0.971072,2.16492,1.088716
230.355743,2.61373,0.962993,2.162697,1.08771
231.954758,2.606404,0.955853,2.159599,1.087647
233.553802,2.599267,0.949633,2.155933,1.088799
235.152863,2.59241,0.944309,2.152086,1.091365
236.751953,2.58595,0.939843,2.148576,1.095437
238.351044,2.580022,0.936122,2.14598,1.100736
239.950165,2.574679,0.932988,2.144511,1.106798
241.549286,2.569927,0.930303,2.144202,1.113251
243.148438,2.565747,0.927946,2.144999,1.11979
244.747604,2.562102,0.92581,2.146795,1.126166
246.346771,2.558941,0.923802,2.149439,1.132172
247.945969,2.556195,0.921842,2.152741,1.137648
249.545166,2.553781,0.919862,2.156471,1.142479
251.144409,2.551581,0.917817,2.160328,1.146616
252.743622,2.549456,0.915743,2.163985,1.150225
254.342865,2.547344,0.913727,2.16733,1.15357
255.942139,2.545228,0.911842,2.170355,1.156857
257.541412,2.54311,0.910146,2.173096,1.16025
259.140686,2.541006,0.90869,2.175619,1.163886
260.73999,2.538944,0.907516,2.178013,1.167874
262.339294,2.53696,0.906659,2.180389,1.172301
263.938629,2.535103,0.906146,2.182876,1.177229
265.537964,2.53343,0.905998,2.185627,1.182698
267.137299,2.532021,0.906223,2.18884,1.18871
268.736633,2.530977,0.90678,2.192745,1.195136
270.335999,2.530351,0.907583,2.197432,1.201752
271.935364,2.530162,0.908556,2.202905,1.208376
273.53476,2.53041,0.90963,2.209129,1.214857
275.134155,2.531088,0.910746,2.21605,1.22107
276.733551,2.532182,0.911852,2.223596,1.226912
278.332947,2.533672,0.9129,2.231686,1.232296
279.932343,2.535532,0.913848,2.240228,1.237155
281.531799,2.537736,0.91466,2.24912,1.241435
283.131195,2.540251,0.915301,2.258252,1.245098
284.730652,2.543041,0.915746,2.267497,1.248124
286.330078,2.546062,0.915974,2.276697,1.25053
287.929504,2.549271,0.915985,2.285719,1.252433
289.528992,2.552642,0.915785,2.294519,1.253954
291.128418,2.556152,0.915378,2.303084,1.255189
292.727875,2.559784,0.914766,2.311421,1.256221
294.327332,2.563521,0.913954,2.319543,1.257118
295.926819,2.56735,0.912942,2.327475,1.257938
297.526306,2.571259,0.911734,2.335247,1.258734
299.125763,2.575237,0.910332,2.342896,1.259547
300.72525,2.579274,0.908738,2.350463,1.260412
302.324707,2.583364,0.906954,2.357994,1.261358
303.924194,2.587498,0.904981,2.365543,1.262407
305.523682,2.591676,0.90282,2.373172,1.263571
307.123169,2.595896,0.90047,2.380958,1.264849
308.722656,2.600162,0.897921,2.388986,1.266189
310.322144,2.604469,0.895155,2.397289,1.267514
311.921631,2.608803,0.892159,2.405874,1.268763
313.521118,2.61315,0.888918,2.414737,1.269885
315.120575,2.617492,0.885425,2.423867,1.270836
316.720062,2.621812,0.88167,2.433251,1.271577
318.31955,2.62609,0.877646,2.442871,1.272077
319.919037,2.630305,0.873349,2.452706,1.272306
321.518524,2.634438,0.868773,2.462735,1.272242
323.117981,2.638466,0.863915,2.472936,1.271862
324.717468,2.642366,0.858773,2.483284,1.271149
326.316956,2.646112,0.853347,2.493756,1.270088
327.916443,2.649679,0.847637,2.504328,1.268668
329.5159,2.653037,0.841644,2.514974,1.266877
331.115356,2.65615,0.835373,2.52567,1.264709
332.714813,2.658971,0.828838,2.536389,1.262159
334.31427,2.661464,0.822081,2.547107,1.259226
335.913727,2.663614,0.815141,2.557803,1.255911
337.513153,2.665411,0.808052,2.568455,1.252216
339.11261,2.66685,0.800847,2.579045,1.248141
340.712006,2.667929,0.793554,2.589552,1.243689
342.311462,2.668651,0.7862,2.599958,1.238862
343.910858,2.669016,0.778808,2.610244,1.233665
345.510284,2.669028,0.771402,2.620393,1.2281
347.10968,2.668692,0.764003,2.630384,1.222172
348.709045,2.668014,0.756629,2.640201,1.215885
350.308441,2.667,0.7493,2.649825,1.209244
351.907837,2.665656,0.742033,2.659236,1.202255
353.507202,2.66399,0.734842,2.668417,1.194924
355.106567,2.66201,0.727744,2.677345,1.187257
356.705902,2.659722,0.720752,2.686,1.179261
358.305237,2.657136,0.713879,2.694357,1.170946
359.904572,2.654258,0.707139,2.702388,1.16232
361.503876,2.651095,0.700543,2.710054,1.153403
363.10321,2.647657,0.694104,2.717327,1.144237
364.702484,2.643951,0.687836,2.724196,1.134863
366.301788,2.639989,0.68175,2.730659,1.125315
367.901062,2.635779,0.675858,2.736715,1.115626
369.500305,2.631334,0.670169,2.742368,1.105824
371.099548,2.626664,0.664694,2.747622,1.095935
372.698792,2.62178,0.659442,2.752486,1.085983
374.298004,2.616695,0.654422,2.756966,1.07599
375.897186,2.611421,0.649641,2.761071,1.065977
377.496399,2.605969,0.645109,2.764811,1.055962
379.095551,2.600354,0.640831,2.768196,1.045962
380.694733,2.594587,0.636815,2.771235,1.035993
382.293884,2.588682,0.633067,2.773942,1.026071
383.893005,2.582654,0.629593,2.776327,1.016208
385.492126,2.576517,0.626398,2.778402,1.006418
387.091217,2.570286,0.623488,2.78018,0.996713
388.690277,2.563977,0.620865,2.781675,0.987103
390.289337,2.557608,0.618536,2.782901,0.977599
391.888367,2.551196,0.616501,2.783872,0.968208
393.487396,2.544762,0.614765,2.784605,0.958939
395.086395,2.538331,0.613328,2.78512,0.949799
396.685394,2.53193,0.612181,2.785439,0.940786
398.284363,2.525583,0.611308,2.785577,0.931892
399.883301,2.519303,0.610691,2.785546,0.92311
401.482239,2.513101,0.610313,2.785353,0.914435
403.081146,2.506985,0.610161,2.785005,0.90586
404.680023,2.500963,0.610219,2.784507,0.897381
406.2789,2.495039,0.610475,2.783865,0.888993
407.877747,2.489219,0.610916,2.783082,0.880693
409.476563,2.483505,0.611528,2.782162,0.872478
411.075378,2.477901,0.612301,2.781107,0.864342
412.674164,2.472407,0.613223,2.779919,0.856283
414.272888,2.467025,0.614284,2.778601,0.848299
415.871643,2.461756,0.615472,2.777155,0.840387
417.470367,2.456598,0.616779,2.77558,0.832543
419.069031,2.451553,0.618194,2.773879,0.824766
420.667664,2.446617,0.619709,2.77205,0.817054
422.266357,2.44179,0.621314,2.770096,0.809404
423.864929,2.43707,0.623003,2.768014,0.801814
425.463531,2.432454,0.624766,2.765806,0.794284
427.062103,2.427938,0.626596,2.763469,0.786811
428.660645,2.42352,0.628486,2.761002,0.779393
430.259125,2.419196,0.63043,2.758403,0.77203
431.857605,2.414961,0.632421,2.75567,0.764721
433.456055,2.41081,0.634453,2.7528,0.757465
435.054504,2.406736,0.636521,2.749787,0.75026
436.652893,2.402735,0.63862,2.746627,0.743108
438.251282,2.398794,0.640747,2.743309,0.736011
439.849609,2.394908,0.642905,2.739828,0.728979
441.447937,2.391071,0.645097,2.73618,0.722023
443.046204,2.387282,0.647323,2.732368,0.71515
444.64447,2.383537,0.649586,2.72839,0.708368
446.242676,2.379834,0.651886,2.72425,0.701686
447.840881,2.376172,0.654226,2.719949,0.69511
449.439056,2.37255,0.656607,2.715491,0.688646
451.037201,2.368967,0.659028,2.710879,0.682301
452.635315,2.365423,0.661492,2.706117,0.676081
454.233337,2.361917,0.663999,2.701208,0.669992
455.83139,2.358449,0.66655,2.696158,0.664038
457.429382,2.355019,0.669144,2.690971,0.658226
459.027405,2.351627,0.671784,2.685651,0.652559
460.625305,2.348274,0.674469,2.680204,0.647042
462.223206,2.344959,0.677199,2.674635,0.64168
463.821106,2.341683,0.679976,2.668948,0.636477
465.418945,2.338448,0.682798,2.663151,0.631437
467.016754,2.335253,0.685666,2.657249,0.626563
468.614502,2.332098,0.688581,2.651248,0.621859
470.212219,2.328986,0.691542,2.645154,0.617329
471.809906,2.325917,0.694549,2.638973,0.612975
473.407562,2.322892,0.697602,2.632713,0.608802
475.005219,2.319912,0.700701,2.62638,0.604811
476.602783,2.316978,0.703846,2.619982,0.601005
478.200348,2.314091,0.707036,2.613527,0.597387
479.797852,2.311254,0.710271,2.607022,0.593959
481.395325,2.308466,0.71355,2.600477,0.590724
482.992767,2.30573,0.716873,2.593899,0.587682
484.590149,2.303048,0.720239,2.5873,0.584836
486.1875,2.300421,0.723648,2.58069,0.582187
487.784821,2.297851,0.727098,2.574082,0.579736
489.382141,2.295342,0.730589,2.567491,0.577481
490.97934,2.292897,0.734117,2.560934,0.575415
492.576569,2.290518,0.737679,2.554423,0.573525
494.173676,2.288205,0.74127,2.547964,0.571802
495.770813,2.285958,0.744888,2.541564,0.570234
497.367859,2.283778,0.74853,2.535226,0.568812
498.964935,2.281664,0.752194,2.528956,0.567527
500.56192,2.279617,0.755875,2.522755,0.56637
502.158875,2.277637,0.759572,2.516627,0.565332
503.755768,2.275721,0.763282,2.510572,0.564406
505.352631,2.273871,0.767002,2.504593,0.563583
506.949463,2.272085,0.770731,2.498689,0.562856
508.546234,2.270363,0.774466,2.492862,0.562217
510.142975,2.268703,0.778204,2.487111,0.56166
511.739655,2.267105,0.781945,2.481436,0.561177
513.336304,2.265568,0.785685,2.475835,0.560762
514.932861,2.264091,0.789423,2.470309,0.560408
516.529419,2.262672,0.793158,2.464857,0.56011
518.125916,2.261311,0.796887,2.459476,0.559861
519.722351,2.260007,0.800609,2.454165,0.559657
521.318787,2.258758,0.804322,2.448921,0.55949
522.915161,2.257563,0.808025,2.443744,0.559357
524.511475,2.256421,0.811716,2.43863,0.559251
526.107727,2.25533,0.815395,2.433577,0.559169
527.703979,2.254291,0.819059,2.428582,0.559104
529.30011,2.2533,0.822707,2.423643,0.559054
530.89624,2.252358,0.826339,2.418756,0.559013
532.49231,2.251462,0.829953,2.413918,0.558978
534.088318,2.250612,0.833548,2.409126,0.558944
535.684265,2.249806,0.837123,2.404376,0.558908
537.280151,2.249043,0.840678,2.399664,0.558865
538.876099,2.248322,0.84421,2.394985,0.558813
540.471863,2.247641,0.84772,2.390337,0.558749
542.067627,2.247,0.851207,2.385715,0.558668
543.663391,2.246397,0.854669,2.381114,0.558569
545.259033,2.245831,0.858107,2.376528,0.558449
546.854614,2.2453,0.861519,2.371953,0.558304
548.450195,2.244804,0.864904,2.367383,0.558134
550.045715,2.244341,0.868263,2.362813,0.557934
551.641113,2.243911,0.871594,2.358235,0.557705
553.236511,2.243513,0.874896,2.353642,0.557443
554.831848,2.243145,0.87817,2.349025,0.557149
556.427124,2.242806,0.881415,2.344372,0.556826
558.022339,2.242496,0.884628,2.339677,0.55648
559.617554,2.242214,0.88781,2.334934,0.556116
561.212646,2.241958,0.890959,2.330141,0.555742
562.807739,2.241727,0.894075,2.325292,0.555361
564.40271,2.241518,0.897156,2.320387,0.554979
565.997681,2.241332,0.900202,2.315423,0.554601
567.59259,2.241165,0.903213,2.310398,0.554232
569.187378,2.241018,0.906188,2.305313,0.553875
570.782166,2.240887,0.909127,2.300165,0.553535
572.376831,2.240772,0.912028,2.294954,0.553217
573.971558,2.240672,0.914892,2.289679,0.552923
575.566101,2.240583,0.917718,2.284342,0.552658
577.160645,2.240506,0.920506,2.27894,0.552426
578.755127,2.240439,0.923256,2.273475,0.55223
580.349548,2.240379,0.925968,2.267948,0.552074
581.943909,2.240326,0.928641,2.262357,0.55196
583.538208,2.240278,0.931275,2.256705,0.551893
585.132446,2.240232,0.933871,2.250992,0.551875
586.726624,2.240189,0.936428,2.245218,0.551909
588.32074,2.240146,0.938945,2.239385,0.551999
589.914795,2.240102,0.941424,2.233493,0.552146
591.508728,2.240055,0.943865,2.227545,0.552355
593.102661,2.240004,0.946266,2.22154,0.552627
594.696533,2.239947,0.94863,2.215481,0.552965
596.290344,2.239882,0.950954,2.209368,0.553372
597.884094,2.239809,0.953241,2.203205,0.553851
599.477722,2.239726,0.95549,2.196991,0.554403
601.07135,2.239631,0.957701,2.190729,0.555031
602.664856,2.239522,0.959874,2.184421,0.555737
604.258362,2.239398,0.962011,2.178067,0.556524
605.851685,2.239259,0.96411,2.171671,0.557393
607.445068,2.239101,0.966173,2.165234,0.558348
609.03833,2.238924,0.968201,2.158759,0.559388
610.631531,2.238726,0.970192,2.152247,0.560518
612.22467,2.238506,0.972149,2.145701,0.561738
613.817749,2.238261,0.97407,2.139123,0.56305
615.410767,2.237991,0.975958,2.132516,0.564457
617.003662,2.237694,0.977812,2.125881,0.565959
618.596558,2.237368,0.979632,2.119222,0.567559
620.189331,2.237011,0.98142,2.112542,0.569257
621.782043,2.236623,0.983177,2.105842,0.571057
623.374695,2.236201,0.984901,2.099127,0.572958
624.967285,2.235743,0.986596,2.092398,0.574962
626.559753,2.235248,0.98826,2.08566,0.577071
628.152222,2.234714,0.989896,2.078915,0.579286
629.744568,2.234139,0.991503,2.072167,0.581607
631.336914,2.233521,0.993082,2.065419,0.584036
632.929077,2.232857,0.994636,2.058675,0.586574
634.521301,2.232147,0.996163,2.051939,0.589221
636.113342,2.231387,0.997667,2.045215,0.591978
637.705383,2.230574,0.999147,2.038508,0.594846
639.297241,2.229706,1.000605,2.031822,0.597825
640.88916,2.228779,1.002044,2.025164,0.600914
642.480896,2.227789,1.003466,2.018541,0.604113
644.072632,2.226732,1.004877,2.011956,0.607415
645.664246,2.225609,1.006282,2.005415,0.610819
647.255798,2.224419,1.007685,1.99892,0.61432
648.84729,2.223161,1.009089,1.992473,0.617915
650.438721,2.221834,1.0105,1.986077,0.6216
652.030029,2.220441,1.011919,1.979735,0.625373
653.621277,2.218982,1.013352,1.973447,0.629229
655.212463,2.217455,1.014801,1.967216,0.633167
656.803589,2.215864,1.016269,1.961043,0.637182
658.394592,2.214208,1.017759,1.954929,0.641272
659.985535,2.212489,1.019274,1.948874,0.645434
661.576355,2.210708,1.020818,1.942882,0.649665
663.167175,2.208865,1.022392,1.936951,0.653962
664.757874,2.206963,1.023999,1.931082,0.658323
666.348511,2.205002,1.025641,1.925277,0.662745
667.939087,2.202984,1.027321,1.919536,0.667224
669.52948,2.20091,1.029041,1.913859,0.671759
671.119873,2.198782,1.030804,1.908247,0.676347
672.710205,2.196602,1.032611,1.902698,0.680985
674.300415,2.194371,1.034463,1.897215,0.685671
675.890503,2.19209,1.036364,1.891797,0.690403
677.480591,2.189761,1.038315,1.886443,0.695178
679.070557,2.187387,1.040317,1.881154,0.699993
680.660461,2.184968,1.042372,1.875929,0.704847
682.250305,2.182506,1.044482,1.870769,0.709738
683.839966,2.180004,1.046649,1.865672,0.714662
685.429626,2.177462,1.048873,1.860639,0.719618
687.019165,2.174884,1.051156,1.855669,0.724605
688.608643,2.17227,1.053499,1.850761,0.729618
690.198059,2.169623,1.055904,1.845916,0.734659
691.787354,2.166944,1.058372,1.841131,0.739722
693.376587,2.164235,1.060903,1.836407,0.744808
694.965698,2.161499,1.0635,1.831743,0.749914
696.554688,2.158737,1.066162,1.827139,0.755039
698.143677,2.155951,1.068891,1.822592,0.76018
699.732544,2.153143,1.071687,1.818103,0.765336
701.321289,2.150316,1.074553,1.81367,0.770505
702.910034,2.14747,1.077487,1.809293,0.775687
704.498596,2.144609,1.080491,1.804971,0.780878
706.087097,2.141734,1.083565,1.800702,0.786079
707.675537,2.138847,1.086711,1.796485,0.791286
709.263855,2.13595,1.089928,1.79232,0.7965
710.852112,2.133046,1.093217,1.788206,0.801718
712.440247,2.130135,1.096579,1.78414,0.806939
714.02832,2.127221,1.100014,1.780122,0.812163
715.616333,2.124306,1.103521,1.776151,0.817388
717.204163,2.121391,1.107102,1.772225,0.822612
718.791931,2.118479,1.110757,1.768344,0.827836
720.379639,2.115571,1.114485,1.764505,0.833057
721.967224,2.11267,1.118286,1.760708,0.838275
723.55481,2.109778,1.122162,1.756951,0.843488
725.142212,2.106897,1.126111,1.753233,0.848697
726.729492,2.104028,1.130134,1.749552,0.8539
728.316772,2.101176,1.13423,1.745908,0.859096
729.90387,2.09834,1.1384,1.742297,0.864285
731.490906,2.095524,1.142642,1.73872,0.869467
733.077881,2.092729,1.146958,1.735174,0.874639
734.664673,2.089957,1.151345,1.731659,0.879803
736.251465,2.087212,1.155805,1.728172,0.884957
737.838135,2.084494,1.160336,1.724712,0.890101
739.424683,2.081806,1.164938,1.721277,0.895234
741.011169,2.079151,1.16961,1.717866,0.900357
742.597534,2.07653,1.174352,1.714477,0.905469
744.183777,2.073945,1.179163,1.711108,0.91057
745.769958,2.071398,1.184042,1.707759,0.915659
747.356079,2.068893,1.188988,1.704426,0.920737
748.942017,2.06643,1.194001,1.701108,0.925804
750.527954,2.064013,1.199079,1.697804,0.930859
752.113647,2.061643,1.204221,1.694511,0.935903
753.699341,2.059323,1.209427,1.691227,0.940936
755.284973,2.057055,1.214694,1.687951,0.945959
756.870422,2.054842,1.220022,1.68468,0.950971
758.455811,2.052686,1.225408,1.681411,0.955973
